name,age,original_module,module
Gandaca,10,1,M8
Olacaceae,10,2,M6
Pseudopontia,10,2,M6
Loranthaceae,10,3,M4
Santalaceae,10,3,M4
Archonias,10,3,M4
Charonias,10,3,M4
Catasticta,10,3,M4
Pereute,10,3,M4
Melete,10,3,M4
Delias,10,3,M4
Mylothris,10,3,M4
Cunizza,10,3,M4
Zygophyllaceae,10,4,M7
Kricogonia,10,4,M7
Fabaceae,10,5,M1
Colias,10,5,M1
Zerene,10,5,M1
Anteos,10,5,M1
Catopsilia,10,5,M1
Phoebis,10,5,M1
Aphrissa,10,5,M1
Dercas,10,5,M1
Teriocolias,10,5,M1
Leucidia,10,5,M1
Eurema,10,5,M1
Pyrisitia,10,5,M1
Dismorphia,10,5,M1
Lieinix,10,5,M1
Enantia,10,5,M1
Pseudopieris,10,5,M1
Leptidea,10,5,M1
Capparaceae,10,6,M2
Itaballia,10,6,M2
Perrhybris,10,6,M2
Pieriballia,10,6,M2
Ganyra,10,6,M2
Prioneris,10,6,M2
Cepora,10,6,M2
Dixeia,10,6,M2
Belenois,10,6,M2
Appias,10,6,M2
Leptosia,10,6,M2
Elodina,10,6,M2
Hebomoia,10,6,M2
Eronia,10,6,M2
Ixias,10,6,M2
Colotis,10,6,M2
Teracolus,10,6,M2
Pinacopteryx,10,6,M2
Pareronia,10,6,M2
Nepheronia,10,6,M2
Tropaeolaceae,10,7,M3
Brassicaceae,10,7,M3
Leptophobia,10,7,M3
Pieris,10,7,M3
Pontia,10,7,M3
Ascia,10,7,M3
Zegris,10,7,M3
Euchloe,10,7,M3
Anthocharis,10,7,M3
Elphinstonia,10,7,M3
Index_114,10,7,M3
Hypericaceae,0,1,M9
Euphorbiaceae,0,1,M9
Eurema,0,1,M9
Appias,0,1,M9
Belenois,0,1,M9
Akaniaceae,0,2,M7
Zygophyllaceae,0,2,M7
Kricogonia,0,2,M7
Talbotia,0,2,M7
Berberidaceae,0,3,M6
Olacaceae,0,3,M6
Ericaceae,0,3,M6
Rosaceae,0,3,M6
Elaeagnaceae,0,3,M6
Pseudopontia,0,3,M6
Aporia,0,3,M6
Amaranthaceae,0,4,M10
Resedaceae,0,4,M10
Cleomaceae,0,4,M10
Colotis,0,4,M10
Elphinstonia,0,4,M10
Euchloe,0,4,M10
Pontia,0,4,M10
Pieris,0,4,M10
Simaroubaceae,0,5,M11
Pyrisitia,0,5,M11
Solanaceae,0,6,M3
Tropaeolaceae,0,6,M3
Bataceae,0,6,M3
Brassicaceae,0,6,M3
Anthocharis,0,6,M3
Zegris,0,6,M3
Ascia,0,6,M3
Theochila,0,6,M3
Tatochila,0,6,M3
Hypsochila,0,6,M3
Pierphulia,0,6,M3
Phulia,0,6,M3
Leptophobia,0,6,M3
Annonaceae,0,7,M8
Rhamnaceae,0,7,M8
Gandaca,0,7,M8
Gonepteryx,0,7,M8
Leptosia,0,7,M8
Caryophyllaceae,0,8,M5
Asteraceae,0,8,M5
Nathalis,0,8,M5
Eroessa,0,8,M5
Fabaceae,0,9,M1
Salicaceae,0,9,M1
Leptidea,0,9,M1
Pseudopieris,0,9,M1
Enantia,0,9,M1
Lieinix,0,9,M1
Dismorphia,0,9,M1
Leucidia,0,9,M1
Teriocolias,0,9,M1
Dercas,0,9,M1
Phoebis,0,9,M1
Catopsilia,0,9,M1
Anteos,0,9,M1
Zerene,0,9,M1
Colias,0,9,M1
Loranthaceae,0,10,M4
Santalaceae,0,10,M4
Polygonaceae,0,10,M4
Boraginaceae,0,10,M4
Verbenaceae,0,10,M4
Cunizza,0,10,M4
Hesperocharis,0,10,M4
Mathania,0,10,M4
Mylothris,0,10,M4
Delias,0,10,M4
Melete,0,10,M4
Pereute,0,10,M4
Catasticta,0,10,M4
Charonias,0,10,M4
Archonias,0,10,M4
Capparaceae,0,11,M2
Celastraceae,0,11,M2
Rhizophoraceae,0,11,M2
Nepheronia,0,11,M2
Pareronia,0,11,M2
Pinacopteryx,0,11,M2
Teracolus,0,11,M2
Ixias,0,11,M2
Eronia,0,11,M2
Hebomoia,0,11,M2
Elodina,0,11,M2
Dixeia,0,11,M2
Cepora,0,11,M2
Prioneris,0,11,M2
Ganyra,0,11,M2
Pieriballia,0,11,M2
Perrhybris,0,11,M2
Itaballia,0,11,M2
Bignoniaceae,0,12,M12
Sapindaceae,0,12,M12
Aphrissa,0,12,M12
