name,age,original_module,module
Pyrisitia,20,5,M1
Pseudopieris,20,5,M1
Leptidea,20,5,M1
Index_68,20,5,M1
Index_77,20,5,M1
Index_78,20,5,M1
Olacaceae,10,1,M5
Pseudopontia,10,1,M5
Fabaceae,10,2,M1
Colias,10,2,M1
Zerene,10,2,M1
Anteos,10,2,M1
Catopsilia,10,2,M1
Phoebis,10,2,M1
Aphrissa,10,2,M1
Dercas,10,2,M1
Teriocolias,10,2,M1
Leucidia,10,2,M1
Eurema,10,2,M1
Pyrisitia,10,2,M1
Dismorphia,10,2,M1
Lieinix,10,2,M1
Enantia,10,2,M1
Pseudopieris,10,2,M1
Leptidea,10,2,M1
Tropaeolaceae,10,3,M3
Brassicaceae,10,3,M3
Leptophobia,10,3,M3
Pieris,10,3,M3
Pontia,10,3,M3
Ascia,10,3,M3
Zegris,10,3,M3
Euchloe,10,3,M3
Anthocharis,10,3,M3
Elphinstonia,10,3,M3
Index_114,10,3,M3
Zygophyllaceae,10,4,M6
Rhamnaceae,10,4,M6
Gonepteryx,10,4,M6
Gandaca,10,4,M6
Kricogonia,10,4,M6
Loranthaceae,10,5,M4
Santalaceae,10,5,M4
Archonias,10,5,M4
Charonias,10,5,M4
Catasticta,10,5,M4
Pereute,10,5,M4
Melete,10,5,M4
Delias,10,5,M4
Mylothris,10,5,M4
Mathania,10,5,M4
Hesperocharis,10,5,M4
Cunizza,10,5,M4
Capparaceae,10,6,M2
Itaballia,10,6,M2
Perrhybris,10,6,M2
Pieriballia,10,6,M2
Ganyra,10,6,M2
Prioneris,10,6,M2
Cepora,10,6,M2
Dixeia,10,6,M2
Belenois,10,6,M2
Appias,10,6,M2
Leptosia,10,6,M2
Elodina,10,6,M2
Hebomoia,10,6,M2
Eronia,10,6,M2
Ixias,10,6,M2
Colotis,10,6,M2
Teracolus,10,6,M2
Pinacopteryx,10,6,M2
Pareronia,10,6,M2
Nepheronia,10,6,M2
Hypericaceae,0,1,M9
Euphorbiaceae,0,1,M9
Eurema,0,1,M9
Appias,0,1,M9
Belenois,0,1,M9
Akaniaceae,0,2,M6
Zygophyllaceae,0,2,M6
Kricogonia,0,2,M6
Talbotia,0,2,M6
Berberidaceae,0,3,M5
Olacaceae,0,3,M5
Ericaceae,0,3,M5
Rosaceae,0,3,M5
Elaeagnaceae,0,3,M5
Pseudopontia,0,3,M5
Aporia,0,3,M5
Amaranthaceae,0,4,M10
Resedaceae,0,4,M10
Cleomaceae,0,4,M10
Colotis,0,4,M10
Elphinstonia,0,4,M10
Euchloe,0,4,M10
Pontia,0,4,M10
Pieris,0,4,M10
Simaroubaceae,0,5,M11
Pyrisitia,0,5,M11
Solanaceae,0,6,M3
Tropaeolaceae,0,6,M3
Bataceae,0,6,M3
Brassicaceae,0,6,M3
Anthocharis,0,6,M3
Zegris,0,6,M3
Ascia,0,6,M3
Theochila,0,6,M3
Tatochila,0,6,M3
Hypsochila,0,6,M3
Pierphulia,0,6,M3
Phulia,0,6,M3
Leptophobia,0,6,M3
Annonaceae,0,7,M8
Rhamnaceae,0,7,M8
Gandaca,0,7,M8
Gonepteryx,0,7,M8
Leptosia,0,7,M8
Caryophyllaceae,0,8,M7
Asteraceae,0,8,M7
Nathalis,0,8,M7
Eroessa,0,8,M7
Fabaceae,0,9,M1
Salicaceae,0,9,M1
Leptidea,0,9,M1
Pseudopieris,0,9,M1
Enantia,0,9,M1
Lieinix,0,9,M1
Dismorphia,0,9,M1
Leucidia,0,9,M1
Teriocolias,0,9,M1
Dercas,0,9,M1
Phoebis,0,9,M1
Catopsilia,0,9,M1
Anteos,0,9,M1
Zerene,0,9,M1
Colias,0,9,M1
Loranthaceae,0,10,M4
Santalaceae,0,10,M4
Polygonaceae,0,10,M4
Boraginaceae,0,10,M4
Verbenaceae,0,10,M4
Cunizza,0,10,M4
Hesperocharis,0,10,M4
Mathania,0,10,M4
Mylothris,0,10,M4
Delias,0,10,M4
Melete,0,10,M4
Pereute,0,10,M4
Catasticta,0,10,M4
Charonias,0,10,M4
Archonias,0,10,M4
Capparaceae,0,11,M2
Celastraceae,0,11,M2
Rhizophoraceae,0,11,M2
Nepheronia,0,11,M2
Pareronia,0,11,M2
Pinacopteryx,0,11,M2
Teracolus,0,11,M2
Ixias,0,11,M2
Eronia,0,11,M2
Hebomoia,0,11,M2
Elodina,0,11,M2
Dixeia,0,11,M2
Cepora,0,11,M2
Prioneris,0,11,M2
Ganyra,0,11,M2
Pieriballia,0,11,M2
Perrhybris,0,11,M2
Itaballia,0,11,M2
Bignoniaceae,0,12,M12
Sapindaceae,0,12,M12
Aphrissa,0,12,M12
